Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1515.554, 16.325, 0.293
1, 32, 40, 12, 1109.448, 17.680, 0.445
1, 32, 60, 11, 1099.596, 17.718, 0.450
1, 32, 80, 11, 1099.038, 17.721, 0.451
1, 32, 100, 22, 996.132, 18.148, 0.467
2, 32, 40, 13, 277.297, 23.701, 0.676
2, 32, 100, 12, 268.001, 23.849, 0.682
2, 64, 100, 12, 264.221, 23.911, 0.696
2, 128, 100, 12, 264.192, 23.912, 0.699
2, 256, 100, 12, 263.754, 23.919, 0.701
