Log Started on 10-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2859.1724
Iteration 5 of 50 | Duration = 2.618 | MSE = 1585.8257
Iteration 6 of 50 | Duration = 2.660 | MSE = 1507.4905
Iteration 7 of 50 | Duration = 2.616 | MSE = 1499.2907
Iteration 8 of 50 | Duration = 2.571 | MSE = 1489.1919
Iteration 9 of 50 | Duration = 2.564 | MSE = 1483.3846
Iteration 10 of 50 | Duration = 2.642 | MSE = 1461.5864
Iteration 11 of 50 | Duration = 2.595 | MSE = 1449.4629
Iteration 12 of 50 | Duration = 2.720 | MSE = 1426.9371
Iteration 13 of 50 | Duration = 2.652 | MSE = 1413.8919
Iteration 14 of 50 | Duration = 2.714 | MSE = 1387.7533
Iteration 15 of 50 | Duration = 2.724 | MSE = 1385.5879
Iteration 16 of 50 | Duration = 2.732 | MSE = 1382.4213
Iteration 17 of 50 | Duration = 2.776 | MSE = 1380.4531
Iteration 18 of 50 | Duration = 2.550 | MSE = 1377.7415
Iteration 19 of 50 | Duration = 2.574 | MSE = 1376.5248
Iteration 20 of 50 | Duration = 2.568 | MSE = 1374.2870
Iteration 21 of 50 | Duration = 2.592 | MSE = 1372.2384
Iteration 22 of 50 | Duration = 2.628 | MSE = 1364.8353
Iteration 23 of 50 | Duration = 2.597 | MSE = 1359.7276
Iteration 24 of 50 | Duration = 2.556 | MSE = 1358.4409
Iteration 25 of 50 | Duration = 2.569 | MSE = 1356.1061
Iteration 26 of 50 | Duration = 2.735 | MSE = 1350.2063
Iteration 27 of 50 | Duration = 2.734 | MSE = 1345.3072
Iteration 28 of 50 | Duration = 2.790 | MSE = 1337.7917
Iteration 29 of 50 | Duration = 2.702 | MSE = 1331.9081
Iteration 30 of 50 | Duration = 2.741 | MSE = 1319.9342
Iteration 31 of 50 | Duration = 2.595 | MSE = 1318.7801
Iteration 32 of 50 | Duration = 2.595 | MSE = 1318.0451
Iteration 33 of 50 | Duration = 2.593 | MSE = 1317.2493
Iteration 34 of 50 | Duration = 2.554 | MSE = 1316.2050
Iteration 35 of 50 | Duration = 2.544 | MSE = 1315.4357
Iteration 36 of 50 | Duration = 2.587 | MSE = 1314.7610
Iteration 37 of 50 | Duration = 2.582 | MSE = 1313.9940
Iteration 38 of 50 | Duration = 2.604 | MSE = 1313.0179
Iteration 39 of 50 | Duration = 2.758 | MSE = 1312.4255
Iteration 40 of 50 | Duration = 2.732 | MSE = 1312.3449
New optimal MSE: 1312.3449

Running polya filter for radius = 1, bins = 32, delta = 100.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 6.092 | MSE = 2130.4619
Iteration 2 of 50 | Duration = 3.107 | MSE = 1769.6834
Iteration 3 of 50 | Duration = 2.822 | MSE = 1642.5344
Iteration 4 of 50 | Duration = 2.842 | MSE = 1583.3294
Iteration 5 of 50 | Duration = 2.812 | MSE = 1518.9228
Iteration 6 of 50 | Duration = 2.669 | MSE = 1470.9876
Iteration 7 of 50 | Duration = 2.659 | MSE = 1452.2535
Iteration 8 of 50 | Duration = 2.582 | MSE = 1444.6856
Iteration 9 of 50 | Duration = 2.622 | MSE = 1438.7628
Iteration 10 of 50 | Duration = 2.823 | MSE = 1429.7874
Iteration 11 of 50 | Duration = 2.810 | MSE = 1415.7255
Iteration 12 of 50 | Duration = 2.800 | MSE = 1404.4933
Iteration 13 of 50 | Duration = 2.781 | MSE = 1386.1404
Iteration 14 of 50 | Duration = 2.646 | MSE = 1370.7935
Iteration 15 of 50 | Duration = 2.570 | MSE = 1362.8151
Iteration 16 of 50 | Duration = 2.602 | MSE = 1359.9075
Iteration 17 of 50 | Duration = 2.590 | MSE = 1357.7737
