Log Started on 09-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2829.6254
Running polya filter for radius = 1, bins = 32, delta = 100.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 7.148 | MSE = 1400.4377
Iteration 2 of 50 | Duration = 3.925 | MSE = 1093.5204
Iteration 3 of 50 | Duration = 3.334 | MSE = 962.0682
Iteration 4 of 50 | Duration = 3.359 | MSE = 896.1746
Iteration 5 of 50 | Duration = 3.142 | MSE = 846.5195
Iteration 6 of 50 | Duration = 3.069 | MSE = 818.3885
Iteration 7 of 50 | Duration = 2.871 | MSE = 805.2737
Iteration 8 of 50 | Duration = 2.827 | MSE = 796.6203
Iteration 9 of 50 | Duration = 2.917 | MSE = 789.8265
Iteration 10 of 50 | Duration = 3.081 | MSE = 784.1387
Iteration 11 of 50 | Duration = 3.230 | MSE = 779.2474
Iteration 12 of 50 | Duration = 3.291 | MSE = 775.4565
Iteration 13 of 50 | Duration = 3.309 | MSE = 770.7139
Iteration 14 of 50 | Duration = 2.871 | MSE = 766.9627
Iteration 15 of 50 | Duration = 2.801 | MSE = 764.7940
Iteration 16 of 50 | Duration = 2.756 | MSE = 763.4351
Iteration 17 of 50 | Duration = 2.964 | MSE = 762.1258
Iteration 18 of 50 | Duration = 2.908 | MSE = 761.0464
Iteration 19 of 50 | Duration = 2.742 | MSE = 760.1432
Iteration 20 of 50 | Duration = 2.742 | MSE = 759.4765
Iteration 21 of 50 | Duration = 3.149 | MSE = 758.5301
Iteration 22 of 50 | Duration = 3.366 | MSE = 757.6387
Iteration 23 of 50 | Duration = 3.093 | MSE = 756.9144
Iteration 24 of 50 | Duration = 3.178 | MSE = 756.5146

Running polya filter for radius = 1, bins = 32, delta = 120.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 3.824 | MSE = 1283.0780
Iteration 2 of 50 | Duration = 4.095 | MSE = 1003.0270
Iteration 3 of 50 | Duration = 3.061 | MSE = 839.6841
Iteration 4 of 50 | Duration = 2.985 | MSE = 811.9632
Iteration 5 of 50 | Duration = 3.078 | MSE = 787.8365
Iteration 6 of 50 | Duration = 3.279 | MSE = 769.5263
Iteration 7 of 50 | Duration = 2.995 | MSE = 753.8548
Iteration 8 of 50 | Duration = 3.042 | MSE = 747.9019
Iteration 9 of 50 | Duration = 2.919 | MSE = 741.7990
Iteration 10 of 50 | Duration = 2.991 | MSE = 737.2166
Iteration 11 of 50 | Duration = 2.819 | MSE = 732.4029
Iteration 12 of 50 | Duration = 2.895 | MSE = 730.6927
Iteration 13 of 50 | Duration = 3.279 | MSE = 728.6110
Iteration 14 of 50 | Duration = 3.236 | MSE = 726.0420
Iteration 15 of 50 | Duration = 2.890 | MSE = 723.4259
Iteration 16 of 50 | Duration = 2.789 | MSE = 722.7180
Iteration 17 of 50 | Duration = 2.742 | MSE = 721.8482
Iteration 18 of 50 | Duration = 2.852 | MSE = 720.8674
Iteration 19 of 50 | Duration = 2.883 | MSE = 719.9975
Iteration 20 of 50 | Duration = 3.241 | MSE = 719.5899
New optimal MSE: 719.5899

Running polya filter for radius = 1, bins = 32, delta = 140.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 4.520 | MSE = 1283.0780
Iteration 2 of 50 | Duration = 4.848 | MSE = 1003.0270
Iteration 3 of 50 | Duration = 3.000 | MSE = 839.9071
Iteration 4 of 50 | Duration = 2.792 | MSE = 811.5660
Iteration 5 of 50 | Duration = 2.925 | MSE = 787.7249
Iteration 6 of 50 | Duration = 2.804 | MSE = 769.3792
Iteration 7 of 50 | Duration = 3.249 | MSE = 753.6091
Iteration 8 of 50 | Duration = 3.416 | MSE = 747.6322
Iteration 9 of 50 | Duration = 3.529 | MSE = 741.5603
Iteration 10 of 50 | Duration = 3.018 | MSE = 737.0555
Iteration 11 of 50 | Duration = 3.146 | MSE = 732.2890
Iteration 12 of 50 | Duration = 2.804 | MSE = 730.5529
Iteration 13 of 50 | Duration = 2.836 | MSE = 728.4831
Iteration 14 of 50 | Duration = 2.784 | MSE = 725.9649
Iteration 15 of 50 | Duration = 3.151 | MSE = 723.3540
Iteration 16 of 50 | Duration = 2.991 | MSE = 722.6221
Iteration 17 of 50 | Duration = 3.044 | MSE = 721.7514
Iteration 18 of 50 | Duration = 2.835 | MSE = 720.8034
Iteration 19 of 50 | Duration = 2.704 | MSE = 719.9425
Iteration 20 of 50 | Duration = 2.644 | MSE = 719.5199
New optimal MSE: 719.5199

Running polya filter for radius = 1, bins = 32, delta = 160.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 3.918 | MSE = 1283.0780
Iteration 2 of 50 | Duration = 4.808 | MSE = 1003.0270
Iteration 3 of 50 | Duration = 3.877 | MSE = 844.4173
Iteration 4 of 50 | Duration = 2.977 | MSE = 800.7451
Iteration 5 of 50 | Duration = 2.833 | MSE = 781.0883
Iteration 6 of 50 | Duration = 2.737 | MSE = 766.0287
Iteration 7 of 50 | Duration = 2.757 | MSE = 749.7773
Iteration 8 of 50 | Duration = 2.830 | MSE = 743.2483
Iteration 9 of 50 | Duration = 3.033 | MSE = 738.1172
Iteration 10 of 50 | Duration = 3.134 | MSE = 734.6763
Iteration 11 of 50 | Duration = 3.079 | MSE = 730.3508
Iteration 12 of 50 | Duration = 3.175 | MSE = 728.4780
Iteration 13 of 50 | Duration = 3.547 | MSE = 726.6368
Iteration 14 of 50 | Duration = 3.169 | MSE = 724.6722
Iteration 15 of 50 | Duration = 3.190 | MSE = 722.3160
Iteration 16 of 50 | Duration = 2.965 | MSE = 721.4388
Iteration 17 of 50 | Duration = 3.014 | MSE = 720.7802
Iteration 18 of 50 | Duration = 2.707 | MSE = 720.0731
Iteration 19 of 50 | Duration = 2.797 | MSE = 719.2634
