Log Started on 10-Mar-2018

Adding Noise
Optimizing for lena512_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2648.9759
Iteration 14 of 50 | Duration = 1.023 | MSE = 1360.9470
Iteration 15 of 50 | Duration = 1.018 | MSE = 1358.9437
Iteration 16 of 50 | Duration = 1.107 | MSE = 1356.4673
Iteration 17 of 50 | Duration = 1.099 | MSE = 1355.0811
Iteration 18 of 50 | Duration = 0.983 | MSE = 1352.7053
Iteration 19 of 50 | Duration = 0.975 | MSE = 1351.7566
Iteration 20 of 50 | Duration = 1.020 | MSE = 1350.0954
Iteration 21 of 50 | Duration = 1.061 | MSE = 1348.6572
Iteration 22 of 50 | Duration = 1.149 | MSE = 1340.7108
Iteration 23 of 50 | Duration = 1.051 | MSE = 1335.1463
Iteration 24 of 50 | Duration = 0.935 | MSE = 1333.9088
Iteration 25 of 50 | Duration = 1.042 | MSE = 1331.3966
Iteration 26 of 50 | Duration = 0.974 | MSE = 1325.7409
Iteration 27 of 50 | Duration = 1.022 | MSE = 1320.6069
Iteration 28 of 50 | Duration = 0.986 | MSE = 1313.8004
Iteration 29 of 50 | Duration = 1.061 | MSE = 1308.1078
Iteration 30 of 50 | Duration = 0.955 | MSE = 1294.9382
Iteration 31 of 50 | Duration = 1.135 | MSE = 1294.0234
Iteration 32 of 50 | Duration = 0.983 | MSE = 1293.2675
Iteration 33 of 50 | Duration = 0.988 | MSE = 1292.6912
Iteration 34 of 50 | Duration = 0.990 | MSE = 1291.5993
Iteration 35 of 50 | Duration = 1.031 | MSE = 1291.0878
Iteration 36 of 50 | Duration = 0.973 | MSE = 1290.4511
Iteration 37 of 50 | Duration = 1.044 | MSE = 1289.9102
Iteration 38 of 50 | Duration = 0.994 | MSE = 1289.0350
Iteration 39 of 50 | Duration = 0.960 | MSE = 1288.6857
New optimal MSE: 1288.6857

Running polya filter for radius = 1, bins = 32, delta = 100.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 2.371 | MSE = 2033.3759
Iteration 2 of 50 | Duration = 1.426 | MSE = 1709.3610
Iteration 3 of 50 | Duration = 1.172 | MSE = 1599.1829
Iteration 4 of 50 | Duration = 1.202 | MSE = 1547.3125
Iteration 5 of 50 | Duration = 1.049 | MSE = 1487.8307
Iteration 6 of 50 | Duration = 1.025 | MSE = 1443.3166
Iteration 7 of 50 | Duration = 1.116 | MSE = 1424.2295
Iteration 8 of 50 | Duration = 0.982 | MSE = 1417.6457
Iteration 9 of 50 | Duration = 1.011 | MSE = 1412.3805
Iteration 10 of 50 | Duration = 1.095 | MSE = 1403.6834
Iteration 11 of 50 | Duration = 0.947 | MSE = 1389.7592
Iteration 12 of 50 | Duration = 1.013 | MSE = 1378.7742
Iteration 13 of 50 | Duration = 0.997 | MSE = 1359.8227
Iteration 14 of 50 | Duration = 1.018 | MSE = 1345.4041
Iteration 15 of 50 | Duration = 0.926 | MSE = 1337.1504
Iteration 16 of 50 | Duration = 1.138 | MSE = 1334.5647
Iteration 17 of 50 | Duration = 1.037 | MSE = 1332.8903
Iteration 18 of 50 | Duration = 1.187 | MSE = 1331.7321
Iteration 19 of 50 | Duration = 0.975 | MSE = 1330.3864
Iteration 20 of 50 | Duration = 1.066 | MSE = 1329.4931
Iteration 21 of 50 | Duration = 0.913 | MSE = 1328.1093
Iteration 22 of 50 | Duration = 1.042 | MSE = 1324.6989
Iteration 23 of 50 | Duration = 0.911 | MSE = 1318.5078
Iteration 24 of 50 | Duration = 0.986 | MSE = 1316.1110
Iteration 25 of 50 | Duration = 0.950 | MSE = 1314.8613
Iteration 26 of 50 | Duration = 0.989 | MSE = 1312.2901
Iteration 27 of 50 | Duration = 0.942 | MSE = 1306.5915
Iteration 28 of 50 | Duration = 0.995 | MSE = 1303.1812
Iteration 29 of 50 | Duration = 0.961 | MSE = 1294.6563
Iteration 30 of 50 | Duration = 0.995 | MSE = 1287.4183
Iteration 31 of 50 | Duration = 0.996 | MSE = 1282.3903
Iteration 32 of 50 | Duration = 0.993 | MSE = 1281.1862
Iteration 33 of 50 | Duration = 0.958 | MSE = 1280.6187
Iteration 34 of 50 | Duration = 0.991 | MSE = 1280.0859
Iteration 35 of 50 | Duration = 0.955 | MSE = 1279.4399
Iteration 36 of 50 | Duration = 0.957 | MSE = 1279.1020
New optimal MSE: 1279.1020

Running polya filter for radius = 1, bins = 32, delta = 120.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.297 | MSE = 1739.7032
Iteration 2 of 50 | Duration = 1.259 | MSE = 1640.3408
Iteration 3 of 50 | Duration = 1.000 | MSE = 1474.6739
Iteration 4 of 50 | Duration = 1.016 | MSE = 1466.2159
Iteration 5 of 50 | Duration = 0.993 | MSE = 1439.3827
Iteration 6 of 50 | Duration = 1.040 | MSE = 1406.0674
Iteration 7 of 50 | Duration = 1.004 | MSE = 1364.6616
Iteration 8 of 50 | Duration = 1.021 | MSE = 1361.3497
Iteration 9 of 50 | Duration = 0.920 | MSE = 1357.2405
Iteration 10 of 50 | Duration = 1.068 | MSE = 1354.4318
Iteration 11 of 50 | Duration = 0.958 | MSE = 1344.2834
Iteration 12 of 50 | Duration = 0.989 | MSE = 1337.5316
Iteration 13 of 50 | Duration = 1.029 | MSE = 1328.3485
Iteration 14 of 50 | Duration = 1.182 | MSE = 1316.3766
Iteration 15 of 50 | Duration = 0.975 | MSE = 1296.7898
Iteration 16 of 50 | Duration = 1.046 | MSE = 1295.6984
Iteration 17 of 50 | Duration = 0.941 | MSE = 1294.3766
Iteration 18 of 50 | Duration = 0.970 | MSE = 1293.2611
Iteration 19 of 50 | Duration = 0.982 | MSE = 1291.7766
Iteration 20 of 50 | Duration = 1.010 | MSE = 1291.1635
Iteration 21 of 50 | Duration = 0.949 | MSE = 1290.2684
Iteration 22 of 50 | Duration = 1.018 | MSE = 1289.3570
Iteration 23 of 50 | Duration = 1.020 | MSE = 1284.9309
Iteration 24 of 50 | Duration = 1.026 | MSE = 1281.6624
Iteration 25 of 50 | Duration = 1.006 | MSE = 1280.7963
Iteration 26 of 50 | Duration = 0.959 | MSE = 1279.3210
Iteration 27 of 50 | Duration = 0.990 | MSE = 1276.0068
Iteration 28 of 50 | Duration = 0.979 | MSE = 1273.2028
Iteration 29 of 50 | Duration = 1.020 | MSE = 1270.0063
Iteration 30 of 50 | Duration = 0.932 | MSE = 1263.6457
Iteration 31 of 50 | Duration = 1.043 | MSE = 1252.3109
Iteration 32 of 50 | Duration = 0.946 | MSE = 1251.7100
Iteration 33 of 50 | Duration = 1.010 | MSE = 1251.2128
New optimal MSE: 1251.2128

Running polya filter for radius = 1, bins = 32, delta = 140.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.264 | MSE = 1739.7032
Iteration 2 of 50 | Duration = 1.313 | MSE = 1640.3408
Iteration 3 of 50 | Duration = 1.044 | MSE = 1474.6864
Iteration 4 of 50 | Duration = 0.994 | MSE = 1466.1962
Iteration 5 of 50 | Duration = 1.143 | MSE = 1439.3865
Iteration 6 of 50 | Duration = 0.995 | MSE = 1406.0489
Iteration 7 of 50 | Duration = 0.998 | MSE = 1364.6356
Iteration 8 of 50 | Duration = 0.999 | MSE = 1361.3015
Iteration 9 of 50 | Duration = 0.969 | MSE = 1357.1941
Iteration 10 of 50 | Duration = 1.072 | MSE = 1354.3957
Iteration 11 of 50 | Duration = 1.081 | MSE = 1344.2523
Iteration 12 of 50 | Duration = 1.044 | MSE = 1337.4943
Iteration 13 of 50 | Duration = 1.012 | MSE = 1328.3110
Iteration 14 of 50 | Duration = 1.063 | MSE = 1316.3247
Iteration 15 of 50 | Duration = 0.985 | MSE = 1296.7759
Iteration 16 of 50 | Duration = 1.032 | MSE = 1295.6900
Iteration 17 of 50 | Duration = 0.988 | MSE = 1294.3643
Iteration 18 of 50 | Duration = 1.012 | MSE = 1293.2600
Iteration 19 of 50 | Duration = 1.026 | MSE = 1291.7757
Iteration 20 of 50 | Duration = 0.975 | MSE = 1291.1529
Iteration 21 of 50 | Duration = 0.999 | MSE = 1290.2403
Iteration 22 of 50 | Duration = 0.992 | MSE = 1289.3330
Iteration 23 of 50 | Duration = 1.014 | MSE = 1284.9276
Iteration 24 of 50 | Duration = 0.934 | MSE = 1281.6563
Iteration 25 of 50 | Duration = 1.024 | MSE = 1280.7865
Iteration 26 of 50 | Duration = 0.966 | MSE = 1279.3038
Iteration 27 of 50 | Duration = 1.003 | MSE = 1275.9902
Iteration 28 of 50 | Duration = 0.972 | MSE = 1273.1863
Iteration 29 of 50 | Duration = 1.046 | MSE = 1269.9779
Iteration 30 of 50 | Duration = 0.997 | MSE = 1263.6185
Iteration 31 of 50 | Duration = 1.014 | MSE = 1252.2991
Iteration 32 of 50 | Duration = 0.990 | MSE = 1251.7006
Iteration 33 of 50 | Duration = 0.986 | MSE = 1251.1939
Iteration 34 of 50 | Duration = 0.988 | MSE = 1250.7133
New optimal MSE: 1250.7133

Running polya filter for radius = 1, bins = 32, delta = 160.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.308 | MSE = 1739.7032
Iteration 2 of 50 | Duration = 1.271 | MSE = 1640.3408
Iteration 3 of 50 | Duration = 0.976 | MSE = 1478.6644
Iteration 4 of 50 | Duration = 1.059 | MSE = 1460.3550
Iteration 5 of 50 | Duration = 1.009 | MSE = 1435.2960
Iteration 6 of 50 | Duration = 1.071 | MSE = 1404.0217
Iteration 7 of 50 | Duration = 1.041 | MSE = 1362.8229
Iteration 8 of 50 | Duration = 0.990 | MSE = 1358.0794
Iteration 9 of 50 | Duration = 0.966 | MSE = 1353.9229
Iteration 10 of 50 | Duration = 1.093 | MSE = 1351.5528
Iteration 11 of 50 | Duration = 0.982 | MSE = 1342.0144
Iteration 12 of 50 | Duration = 1.049 | MSE = 1335.3342
Iteration 13 of 50 | Duration = 1.068 | MSE = 1326.2723
Iteration 14 of 50 | Duration = 0.999 | MSE = 1314.5956
Iteration 15 of 50 | Duration = 0.990 | MSE = 1295.6997
Iteration 16 of 50 | Duration = 1.027 | MSE = 1293.9278
Iteration 17 of 50 | Duration = 1.019 | MSE = 1292.2588
Iteration 18 of 50 | Duration = 0.941 | MSE = 1291.0952
Iteration 19 of 50 | Duration = 1.092 | MSE = 1289.5930
Iteration 20 of 50 | Duration = 0.994 | MSE = 1289.0066
Iteration 21 of 50 | Duration = 1.012 | MSE = 1288.1470
Iteration 22 of 50 | Duration = 1.027 | MSE = 1287.1831
Iteration 23 of 50 | Duration = 1.020 | MSE = 1283.0943
Iteration 24 of 50 | Duration = 0.979 | MSE = 1279.8509
Iteration 25 of 50 | Duration = 1.066 | MSE = 1278.9069
Iteration 26 of 50 | Duration = 0.962 | MSE = 1277.5794
Iteration 27 of 50 | Duration = 0.983 | MSE = 1274.3865
Iteration 28 of 50 | Duration = 1.078 | MSE = 1271.5449
Iteration 29 of 50 | Duration = 0.950 | MSE = 1268.4189
Iteration 30 of 50 | Duration = 1.047 | MSE = 1262.2066
Iteration 31 of 50 | Duration = 1.024 | MSE = 1251.2756
Iteration 32 of 50 | Duration = 1.012 | MSE = 1250.3418
Iteration 33 of 50 | Duration = 0.951 | MSE = 1249.7747
Iteration 34 of 50 | Duration = 1.121 | MSE = 1249.3239
New optimal MSE: 1249.3239

Running polya filter for radius = 1, bins = 32, delta = 180.
Initial MSE: 2648.9759
Iteration 1 of 50 | Duration = 1.251 | MSE = 1739.7032
Iteration 2 of 50 | Duration = 1.438 | MSE = 1640.3136
Iteration 3 of 50 | Duration = 1.079 | MSE = 1478.6293
Iteration 4 of 50 | Duration = 1.139 | MSE = 1460.4227
