Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2038.653, 15.037, 0.247
1, 32, 40, 12, 1643.202, 15.974, 0.346
1, 32, 60, 11, 1633.495, 16.000, 0.349
1, 32, 80, 11, 1632.450, 16.002, 0.350
1, 32, 100, 13, 1575.941, 16.155, 0.357
1, 64, 100, 14, 1571.647, 16.167, 0.362
2, 32, 40, 27, 358.559, 22.585, 0.636
2, 32, 100, 24, 342.669, 22.782, 0.642
2, 64, 100, 23, 340.160, 22.814, 0.653
2, 128, 100, 24, 340.104, 22.815, 0.656
2, 256, 100, 24, 340.076, 22.815, 0.657
3, 32, 40, 13, 215.366, 24.799, 0.696
3, 32, 60, 11, 214.284, 24.821, 0.696
3, 32, 100, 9, 211.189, 24.884, 0.696
3, 64, 60, 13, 210.128, 24.906, 0.714
3, 64, 100, 9, 207.636, 24.958, 0.713
3, 128, 100, 10, 207.215, 24.967, 0.717
3, 256, 100, 10, 207.019, 24.971, 0.719
